Cookie Notice,Cookie Notice
General Configuration,General Configuration
Enable,Enable
Auto Hide Message (seconds),Auto Hide Message (seconds)
Position,Position
Bottom Left,Bottom Left
Top Left,Top Left
Bottom Right,Bottom Right
Top Right,Top Right
Notice Message,Notice Message
Message Title,Message Title
Title Text Color,Title Text Color
Message,Message
This config allows editing a message to offer visitors your website cookie information.,This config allows editing a message to offer visitors your website cookie information.
Message Text Color,Message Text Color
Content Color,Content Color
Acceptance Button,Acceptance Button
Text,Text
Text Color,Text Color
More Information Button,More Information Button
Page,Page
The selected page will be interlinked with the more information button.,The selected page will be interlinked with the more information button.
Custom Style,Custom Style
Custom Css,Custom Css
